alpha,attackA1,attackA2,attackA3
0.0,0.0,0.0,0.0
0.010101010101010102,0.0034957382287707705,0.012211516521583905,0.028294151258628643
0.020202020202020204,0.0067847193746363695,0.024006100909725814,0.05550518553055375
0.030303030303030304,0.009867087185280869,0.035393374264513756,0.08164842933795373
0.04040404040404041,0.012745301402538088,0.046387312099311115,0.10673715733225034
0.050505050505050504,0.01541949565952923,0.05699548604905373,0.13078935570623884
0.06060606060606061,0.017891983880045828,0.06722958729597066,0.15383394981028317
0.0707070707070707,0.02016024678964845,0.07710384941607969,0.17591014278440115
0.08080808080808081,0.02222601020037449,0.08662172525777478,0.1970644542716732
0.09090909090909091,0.024091886096344495,0.09579960617109141,0.2173469492493928
0.10101010101010101,0.025756031349833716,0.10464004718520135,0.2368019002909562
0.1111111111111111,0.027218470679323824,0.11315910343574231,0.25546939132944796
0.12121212121212122,0.028479052296120893,0.12135851874589648,0.27338116399928036
0.13131313131313133,0.029537420052587842,0.12925403492200158,0.2905625268996007
0.1414141414141414,0.03039628493209345,0.13684655539740997,0.307037023625479
0.15151515151515152,0.03105222724534099,0.1441516263602742,0.3228234788892355
0.16161616161616163,0.03150451203991458,0.1511692153102233,0.33794660149228434
0.1717171717171717,0.03175579825045126,0.15791485093190527,0.3524332103345998
0.18181818181818182,0.03180175449267779,0.16438742014219687,0.366312843143597
0.1919191919191919,0.03164492644296941,0.17060266316140008,0.37961842317815697
0.20202020202020202,0.031280443831398205,0.17655819363304162,0.3923764663292547
0.21212121212121213,0.030710667922306537,0.18227024640812414,0.40461582074023245
0.2222222222222222,0.029929980512440935,0.1877397851737114,0.4163606580260286
0.23232323232323232,0.028944958910642398,0.1929692694947061,0.4276320815077694
0.24242424242424243,0.027749421731593987,0.19797323279203252,0.43845181116119114
0.25252525252525254,0.026341012305261126,0.2027481494875863,0.4488335111206438
0.26262626262626265,0.02472150680132008,0.20730971926783753,0.45879694728478265
0.2727272727272727,0.02288782373804593,0.21165786478644497,0.46836035303168827
0.2828282828282828,0.020836098905849337,0.21579331707356578,0.4775421499725391
0.29292929292929293,0.01857679327122501,0.2197312924230859,0.4863638603536865
0.30303030303030304,0.016095239916845687,0.22347135021912318,0.4948374636597797
0.31313131313131315,0.013403108322780436,0.22701337517543083,0.5029814949782948
0.32323232323232326,0.010506532108622983,0.23037289934632366,0.5108108859576752
0.3333333333333333,0.007419118789770349,0.23354881624903415,0.5183424080451262
0.3434343434343434,0.004238012628285764,0.23654572296350826,0.5255844199276258
0.35353535353535354,0.0015220623988335042,0.23936282191258246,0.5325515854394348
0.36363636363636365,0.0005340055671209689,0.24201551646609115,0.5392561419051835
0.37373737373737376,0.0003030318862164246,0.24450231337713527,0.5457099619517637
0.3838383838383838,0.00021484769703774005,0.24682747279026632,0.5519281247472139
0.3939393939393939,0.0001707295169081741,0.24899519099403114,0.5579155193202646
