alpha,res1,res2,res3,res4
0.0,1.0,1.0,1.0,1.0
0.010101010101010102,0.9979961556227784,0.9969911880172813,0.9959841819898335,0.9949751313704074
0.020202020202020204,0.9960251560098065,0.994025614595072,0.9920179292363023,0.9900020507007211
0.030303030303030304,0.9940871916220577,0.9911036593215382,0.9881018273154518,0.9850815299360337
0.04040404040404041,0.99218244777253,0.9882256946257673,0.9842364556159505,0.9802143393673635
0.050505050505050504,0.9903111044541102,0.9853920853447089,0.9804223866237688,0.9754012467554054
0.06060606060606061,0.9884733361702236,0.9826031882902259,0.9766601851943973,0.9706430164206485
0.0707070707070707,0.9866693117686093,0.9798593518172759,0.9729504078141786,0.9659404083010137
0.08080808080808081,0.9848991942785701,0.9771609153942851,0.9692936018524367,0.9612941769783873
0.09090909090909091,0.9831631407520319,0.9745082091767959,0.9656903048062276,0.9567050706756588
0.10101010101010101,0.9814613021087665,0.9719015535855029,0.9621410435396277,0.9521738302261201
0.1111111111111111,0.9797938229861005,0.9693412588898037,0.9586463335196088,0.9477011880173247
0.12121212121212122,0.9781608415934573,0.9668276247980214,0.9552066780506384,0.943287866911751
0.13131313131313133,0.9765624895720508,0.9643609400554464,0.9518225675102476,0.9389345791468686
0.1414141414141414,0.9749988918600527,0.96194148205137,0.9484944785878985,0.9346420252174481
0.15151515151515152,0.9734701665635486,0.959569516436273,0.9452228735295519,0.9304108927431998
0.16161616161616163,0.9719764248335782,0.9572452967503224,0.9420081993904158,0.926241855325062
0.1717171717171717,0.9705177707495577,0.9549690640643359,0.9388508872984025,0.9221355713936876
0.18181818181818182,0.9690943012093599,0.9527410466343305,0.9357513517308649,0.9180926830538894
0.1919191919191919,0.9677061058263144,0.950561459570775,0.932709989807211,0.9141138149290078
0.20202020202020202,0.9663532668333874,0.9484305045236158,0.9297271806000096,0.910199573009342
0.21212121212121213,0.9650358589947687,0.9463483693841218,0.9268032844671941,0.9063505435089555
0.2222222222222222,0.9637539495250896,0.9443152280045485,0.9239386424079554,0.9025672917352956
0.23232323232323232,0.9625075980164726,0.9423312399365738,0.9211335754448745,0.8988503609761849
0.24242424242424243,0.9612968563735937,0.9403965501894079,0.9183883840347966,0.895200271408828
0.25252525252525254,0.9601217687569279,0.9385112890084162,0.9157033475108727,0.8916175190355285
0.26262626262626265,0.9589823715343118,0.9366755716750347,0.9130787235581121,0.8881025746508324
0.2727272727272727,0.9578786932409576,0.9348894983286886,0.9105147477246788,0.8846558828448017
