alpha,attack1,attack2,attack3
0.0,0.12320043337643247,0.24005742930131205,0.297848675995271
0.010101010101010102,0.1226063912161239,0.24691911222263765,0.3173540322055291
0.020202020202020204,0.12183696321025918,0.25347372230499693,0.33606122035161795
0.030303030303030304,0.12088548444166011,0.2597232553479185,0.3539397574209088
0.04040404040404041,0.11976766455896046,0.2656821963806404,0.3709778478447616
0.050505050505050504,0.11847636341439671,0.27135209738504523,0.38718844467715907
0.06060606060606061,0.11702009118654931,0.27674298285138,0.4026100952622539
0.0707070707070707,0.11538354428901439,0.28186793942252397,0.41729954318425966
0.08080808080808081,0.11357449964129328,0.2867247289160347,0.43132120425357395
0.09090909090909091,0.11160173581847066,0.29132971490615617,0.44473668930250654
0.10101010101010101,0.10945704481852335,0.2956805925910957,0.45759283827824593
0.1111111111111111,0.10714067830772098,0.2997930750895168,0.46992106335252415
0.12121212121212122,0.10465262951763936,0.3036646238724608,0.48173616429749666
0.13131313131313133,0.1019926063719338,0.3073105193341599,0.49304200353580796
0.1414141414141414,0.09916909520031798,0.3107277983896295,0.5038401089365437
0.15151515151515152,0.09617328913657847,0.31393155201399714,0.5141321029826098
0.16161616161616163,0.09300481651295893,0.3169181851881182,0.5239299898469365
0.1717171717171717,0.0896719708699522,0.3197028641638849,0.5332538042295336
0.18181818181818182,0.08616547321724252,0.32228113248102314,0.5421303941637059
0.1919191919191919,0.0824933911741051,0.3246685269476164,0.5505911299251478
0.20202020202020202,0.07864626613727732,0.3268594656727477,0.5586619115602957
0.21212121212121213,0.07463183122729164,0.32887019590396405,0.5663675579830557
0.2222222222222222,0.07043996300427645,0.3306993120719494,0.5737260554804903
0.23232323232323232,0.06608748999611169,0.33234732160189023,0.5807503802064184
0.24242424242424243,0.0615634766830426,0.33382872524699686,0.5874526891031914
0.25252525252525254,0.056865835358110454,0.33513736423823576,0.5938394085877508
0.26262626262626265,0.05200105562905073,0.33628923164959984,0.5999228764879848
0.2727272727272727,0.04696575696616341,0.3372823372020106,0.6057159968008283
0.2828282828282828,0.041755426896145524,0.33811574706452535,0.6112331496382648
0.29292929292929293,0.0363932094490044,0.33880512333506413,0.6164916623764054
0.30303030303030304,0.030853899698658007,0.3393483647262461,0.621501373312135
0.31313131313131315,0.02516249384921898,0.3397438526742297,0.62627645225666
