alphaStar,rStar
0.5405405405405406,0.972972972972973
0.5425400739827374,0.9716399506781752
0.5445544554455446,0.9702970297029703
0.546583850931677,0.9689440993788822
0.5486284289276807,0.967581047381546
0.5506883604505634,0.9662077596996246
0.5527638190954773,0.964824120603015
0.5548549810844893,0.9634300126103406
0.5569620253164558,0.9620253164556962
0.5590851334180433,0.9606099110546379
0.5612244897959183,0.9591836734693876
0.5633802816901409,0.9577464788732395
0.5655526992287918,0.9562982005141389
0.567741935483871,0.9548387096774194
0.5699481865284973,0.9533678756476685
0.5721716514954486,0.9518855656697008
0.5744125326370757,0.9503916449086163
0.5766710353866317,0.9488859764089121
0.5789473684210527,0.9473684210526316
0.5812417437252312,0.9458388375165127
0.5835543766578251,0.9442970822281166
0.5858854860186418,0.9427430093209055
0.5882352941176472,0.9411764705882353
0.5906040268456375,0.9395973154362416
0.5929919137466307,0.9380053908355794
0.5953991880920163,0.9364005412719891
0.5978260869565218,0.9347826086956522
0.6002728512960436,0.9331514324693041
0.6027397260273972,0.9315068493150684
0.6052269601100412,0.9298486932599725
0.6077348066298343,0.9281767955801106
0.6102635228848821,0.9264909847434121
0.6128133704735377,0.924791086350975
0.6153846153846154,0.9230769230769231
0.6179775280898877,0.9213483146067416
0.620592383638928,0.919605077574048
0.6232294617563738,0.9178470254957507
0.6258890469416785,0.9160739687055477
0.6285714285714286,0.9142857142857144
0.6312769010043042,0.9124820659971306
0.6340057636887608,0.9106628242074927
0.6367583212735167,0.9088277858176557
0.6395348837209303,0.9069767441860466
0.6423357664233577,0.9051094890510949
0.6451612903225807,0.9032258064516129
0.6480117820324006,0.9013254786450663
0.650887573964497,0.8994082840236686
0.6537890044576522,0.8974739970282318
0.6567164179104477,0.8955223880597015
0.6596701649175413,0.8935532233883059
0.6626506024096386,0.891566265060241
0.6656580937972769,0.8895612708018155
0.6686930091185409,0.8875379939209727
0.6717557251908399,0.8854961832061069
0.674846625766871,0.8834355828220858
0.6779661016949153,0.8813559322033898
0.6811145510835913,0.8792569659442723
0.6842923794712285,0.8771384136858476
0.6875000000000001,0.8750000000000001
0.6907378335949765,0.8728414442700155
0.694006309148265,0.8706624605678234
0.6973058637083994,0.8684627575277337
0.7006369426751592,0.8662420382165605
0.704,0.864
0.707395498392283,0.8617363344051447
0.7108239095315022,0.8594507269789985
0.7142857142857142,0.8571428571428571
0.7177814029363786,0.8548123980424143
0.7213114754098359,0.8524590163934426
0.7248764415156508,0.8500823723228995
0.7284768211920529,0.8476821192052979
0.7321131447587355,0.8452579034941764
0.7357859531772575,0.8428093645484951
0.7394957983193275,0.8403361344537813
0.7432432432432433,0.8378378378378378
0.7470288624787774,0.8353140916808148
0.7508532423208191,0.832764505119454
0.7547169811320755,0.8301886792452831
0.7586206896551723,0.8275862068965517
0.7625649913344887,0.8249566724436741
0.7665505226480833,0.8222996515679442
0.7705779334500876,0.819614711033275
0.7746478873239435,0.8169014084507042
0.7787610619469025,0.8141592920353982
0.7829181494661921,0.8113879003558719
0.7871198568872989,0.8085867620751341
0.79136690647482,0.8057553956834532
0.7956600361663655,0.8028933092224231
0.8,0.8
0.8043875685557589,0.7970749542961608
0.8088235294117645,0.7941176470588236
0.8133086876155268,0.7911275415896488
0.8178438661710036,0.7881040892193308
0.8224299065420565,0.7850467289719627
0.8270676691729322,0.7819548872180452
0.831758034026465,0.7788279773156899
0.8365019011406847,0.7756653992395437
0.841300191204589,0.7724665391969407
0.8461538461538463,0.7692307692307693
0.8510638297872338,0.7659574468085106
